"Year...Month","Event","Deaths","Injured","Houses.Destroyed","Houses.Damaged","Directly.affected","Indirectly.Affected","Country","Category","Country_ID","Category_ID"
"1973/03","FORESTFIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/04","EXPLOSION",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/04","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/04","FLOOD",2,34,7,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1973/04","LANDSLIDE",1,34,7,15,189,306,"Venezuela","Natural - Geological",7,6
"1973/04","RAIN",2,34,4,1,189,306,"Venezuela","Natural - Meteorological",7,8
"1973/05","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/06","EPIDEMIC",18,34,7,27,189,306,"Venezuela","Biological - Epidemics",7,1
"1973/06","FIRE",2,34,1,27,189,15,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/06","LANDSLIDE",4,34,7,27,189,306,"Venezuela","Natural - Geological",7,6
"1973/06","POLLUTION",2,34,7,27,189,306,"Venezuela","Man-made - Pollution",7,4
"1973/07","BIOLOGICAL",2,34,7,27,189,306,"Venezuela","Biological - Epidemics",7,1
"1973/07","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/07","FLOOD",2,34,7,300,189,306,"Venezuela","Natural - Hydrological",7,7
"1973/08","EPIDEMIC",14,34,7,27,189,306,"Venezuela","Biological - Epidemics",7,1
"1973/08","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/08","FLOOD",1,34,10,30,189,4500,"Venezuela","Natural - Hydrological",7,7
"1973/08","FORESTFIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/08","LANDSLIDE",2,34,7,27,189,1800,"Venezuela","Natural - Geological",7,6
"1973/08","STORM",2,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1973/09","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/09","FLOOD",2,34,2,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1973/10","FIRE",2,34,7,15,53,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/10","FLOOD",1,34,7,15,730,225,"Venezuela","Natural - Hydrological",7,7
"1973/10","LANDSLIDE",1,34,5,27,189,306,"Venezuela","Natural - Geological",7,6
"1973/10","STORM",2,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1973/11","FIRE",2,34,1,4,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/11","FLOOD",2,34,40,100,3314,135,"Venezuela","Natural - Hydrological",7,7
"1973/11","LANDSLIDE",4,34,8,85,1050,306,"Venezuela","Natural - Geological",7,6
"1973/12","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1973/12","FLOOD",2,34,7,80,45,306,"Venezuela","Natural - Hydrological",7,7
"1974/00","LANDSLIDE",2,34,7,27,189,306,"Venezuela","Natural - Geological",7,6
"1974/01","FIRE",1,34,7,1,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/01","FORESTFIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/02","COASTLINE",2,34,7,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1974/02","EXPLOSION",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/02","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/03","FIRE",2,34,3,12,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/03","FORESTFIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/04","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/04","FLOOD",2,34,7,60,189,306,"Venezuela","Natural - Hydrological",7,7
"1974/05","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/05","FLOOD",3,34,7,15,900,306,"Venezuela","Natural - Hydrological",7,7
"1974/05","STORM",1,34,7,100,189,306,"Venezuela","Natural - Meteorological",7,8
"1974/06","EARTHQUAKE",15,2,6,6,9,306,"Venezuela","Natural - Geological",7,6
"1974/06","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/06","FLOOD",1,34,7,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1974/06","LANDSLIDE",1,34,7,1,189,306,"Venezuela","Natural - Geological",7,6
"1974/07","STRONGWIND",2,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1974/08","ACCIDENT",47,34,7,27,189,306,"Venezuela","Man-made - Transportation",7,5
"1974/08","ALLUVION",2,34,70,1,175,306,"Venezuela","Other",7,9
"1974/08","ELECTRICSTORM",2,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1974/08","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/08","FLOOD",1,34,7,27,189,1800,"Venezuela","Natural - Hydrological",7,7
"1974/08","LANDSLIDE",2,34,15,150,1067,306,"Venezuela","Natural - Geological",7,6
"1974/08","STORM",47,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1974/09","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/09","FLOOD",1,34,7,27,945,306,"Venezuela","Natural - Hydrological",7,7
"1974/09","LANDSLIDE",2,34,8,8,189,306,"Venezuela","Natural - Geological",7,6
"1974/10","EARTHQUAKE",2,34,7,27,189,306,"Venezuela","Natural - Geological",7,6
"1974/10","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/10","FLOOD",1,34,20,27,315,306,"Venezuela","Natural - Hydrological",7,7
"1974/10","LANDSLIDE",2,34,10,3,189,306,"Venezuela","Natural - Geological",7,6
"1974/10","STRONGWIND",2,34,7,27,189,306,"Venezuela","Natural - Meteorological",7,8
"1974/10","SURGE",2,34,7,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1974/11","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1974/11","FLOOD",2,34,100,27,189,306,"Venezuela","Natural - Hydrological",7,7
"1974/11","LANDSLIDE",4,34,1,27,600,306,"Venezuela","Natural - Geological",7,6
"1974/12","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/00","LANDSLIDE",2,34,7,27,189,306,"Venezuela","Natural - Geological",7,6
"1975/01","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/02","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/03","EARTHQUAKE",47,34,5,27,189,306,"Venezuela","Natural - Geological",7,6
"1975/03","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/03","FORESTFIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/03","LANDSLIDE",1,34,1,27,189,306,"Venezuela","Natural - Geological",7,6
"1975/04","ALLUVION",2,34,7,27,189,306,"Venezuela","Other",7,9
"1975/04","EARTHQUAKE",2,34,60,38,500,306,"Venezuela","Natural - Geological",7,6
"1975/04","FIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
"1975/04","FORESTFIRE",2,34,7,27,189,306,"Venezuela","Man-made - Fire and Explosions",7,3
