Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
2012/11,Stormy,2,,,,,128,128,,,
2012/11,Strong winds,1,,,,,1688,1688,,,
2012/12,Floods,1,,,,,5,5,,,
2013/03,Floods,4,,,,,455,455,,,
2013/09,Floods,1,,,,,330,330,,,
2013/11,Floods,3,,,,,119,119,,,
2013/11,Stormy Rains,2,,,,,330,330,,,
2013/11,Strong winds,1,,,,,21,21,,,
2013/12,Floods,4,,,,,1096,1096,,,
2013/12,Food Insecurity,1,,,,,2500,2500,,,
2013/12,Lightning,1,,,,,8,8,,,
2013/12,Stormy Rains,25,,,,,5551,5551,,,
2014/01,Flash Floods,3,,,,,366,366,,,
2014/01,Floods,1,,,,,1525,1525,,,
2014/01,Heavy rains,5,,,,,124,124,,,
2014/01,Stormy Rains,23,,,,,3252,3252,,,
2014/02,Floods,6,,,,,2328,2328,,,
2014/02,Food Insecurity,1,,,,,1426,1426,,,
2014/02,Heavy rains,1,,,,,21,21,,,
2014/02,Stormy Rains,5,,,,,178,178,,,
2014/02,Strong winds,2,,,,,29,29,,,
2014/03,Floods,2,,,,,45,45,,,
2014/03,Stormy Rains,5,,,,,559,559,,,
2014/04,Dry Spells,1,,,,,1500,1500,,,
2014/04,Floods,3,,,,,1593,1593,,,
2014/05,Floods,1,,,,,945,945,,,
2015/09,Bush fire,1,,,,,52,52,,,
2015/10,Strong winds,6,,,,,913,913,,,
2015/10,Strong winds and bush fire,4,,,,,36,36,,,
2015/11,Stormy Rains,16,,,,,2243,2243,,,
2015/11,Strong winds,15,,,,,1572,1572,,,
2015/12,Floods,2,,,,,107,107,,,
2015/12,HAILSTORM,16,5,3,,,1976,1976,,,
2015/12,Heavy rains and storms,3,,2,,,42,42,,,
2015/12,Stormy Rains,95,19,36,,,7906,7906,,,
2015/12,Strong winds,7,,,,,687,687,,,
2016/01,Flash Floods,1,,,,,209,209,,,
2016/01,Floods,4,,,,,506,506,,,
2016/01,Stormy Rains,47,,1,,,9048,9048,,,
2016/01,Strong winds,2,,,,,69,69,,,
2016/02,Flash Floods,10,1,,,,2174,2174,,,
2016/02,HAILSTORM,6,,,,,946,946,,,
2016/02,Stormy Rains,13,,,,,3513,3513,,,
2016/02,Strong winds,1,,,,,175,175,,,
