Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1972/10,DROUGHT,8,,,,,,,,,
1972/10,EPIDEMIC,1,,768,,,,,,,
1972/10,EXPLOSION,1,4,3,,1,,,,,
1972/10,FIRE,5,7,9,,40,,160,,,
1972/10,FLOOD,22,,,,,800,,,,6379
1972/10,FROST,44,,,,,,10000,,,
1972/10,LANDSLIDE,1,,,,,,,,,
1972/10,POLLUTION,1,2,8,,,,,,,
1972/10,STORM,4,1,,,,,,,,
1972/10,STRUCTURE,1,,,,14,,56,,,
1972/11,DROUGHT,15,,,,,,,,,
1972/11,FIRE,5,2,12,,1,,,,,
1972/11,FLOOD,9,,,,,,,,,360
1972/11,HAILSTORM,5,,,,,,,,,
1972/11,STORM,2,,,,,,,,,
1972/12,EXPLOSION,2,2,18,,,,,,,
1972/12,FIRE,2,,1,,,,,,,15
1972/12,FLOOD,36,,,,102,300,,1520,,1255
1972/12,HAILSTORM,4,,,,,,,,,
1972/12,STORM,12,1,,,,,2000,6000,,1850
1972/12,STRONGWIND,1,,,,30,,120,,,
1973/01,ALLUVION,2,1,,,,,,,,
1973/01,BIOLOGICAL,1,,,,,,,,,
1973/01,EPIDEMIC,9,29,103,,,,,,,
1973/01,EXPLOSION,5,29,10,11,,2,,,,
1973/01,FIRE,20,1,12,,4,32,136,,,
1973/01,FLOOD,23,1,2,1,,5965,,12000,,5553
1973/01,PLAGUE,1,,,,,,,,,
1973/01,POLLUTION,1,,,,,,,,,
1973/01,RAIN,1,,,,,,,,,
1973/01,STORM,20,,,,1,460,1840,2000,,140
1973/01,STRONGWIND,21,71,712,,543,2,1672,4800,,
1973/01,STRUCTURE,2,,,,,43,,,,168
1973/02,ACCIDENT,1,9,15,,,,,,,
1973/02,ALLUVION,9,2,,,40,77,12,,,110
1973/02,EPIDEMIC,2,12,8,,,,,,,
1973/02,EPIZOOTIA,1,,,,,,,,,
1973/02,EXPLOSION,2,1,2,,,1,,,,
1973/02,FIRE,12,1,11,,,,,,,
1973/02,FLOOD,30,,32,,51,704,,4802,,3188
1973/02,FORESTFIRE,1,,,,,,,,,
1973/02,LANDSLIDE,2,,,,,,,,,
1973/02,LEAK,1,4,,,,,,,,
1973/02,PLAGUE,1,,,,,,,,,
1973/02,POLLUTION,3,2,9,,,,,,,
1973/02,RAIN,2,,3,,1,,,,,
1973/02,STORM,7,1,,,,15,,,,60
1973/02,STRONGWIND,4,,,,,,,,,
1973/02,STRUCTURE,2,,,,,,,,,
1973/03,ACCIDENT,6,23,36,,,,,,,
1973/03,ALLUVION,11,4,6,,23,96,880,,,527
1973/03,EPIDEMIC,2,,522,,,,,,,
1973/03,EXPLOSION,1,1,,,,,,,,
1973/03,FIRE,12,1,2,,55,20,200,20,,
1973/03,FLOOD,130,28,1,6,157,480,200,2000,,11053
1973/03,FROST,1,2,,,,,,,,
1973/03,HAILSTORM,1,,,,,,,,,
1973/03,LANDSLIDE,9,,,,,,,200,,
1973/03,POLLUTION,2,3,5,,,,,,,
1973/03,RAIN,7,5,1,,4,,,,,
1973/03,STORM,9,3,,,1,,,,,
